package_id,package_name,country,cities_covered,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,unnamed:_14
ESP004,spain adventure expedition,spain,granada sierra nevada,8,mountain lodge,breakfast,rental car private transfers,sierra nevada national park alhambra mulhacn peak,hiking rock climbing mountain biking skiing winter,adventure,adventure lovers,4.8,195000,
ESP005,spain luxury escape,spain,madrid barcelona ibiza,10,5star luxury resort,all meals,business class domestic flights private chauffeur,sagrada famlia royal palace ibiza beaches park gell,private yacht cruise luxury shopping michelinstar dining spa,luxury,premium travelers,5.0,395000,
ESP006,spain cultural heritage tour,spain,madrid toledo crdoba,8,4star hotel,breakfast,highspeed train private coach,toledo cathedral mosquecathedral of crdoba prado museum royal palace,heritage walks museum tours flamenco performance,cultural,history enthusiasts,4.8,155000,
ESP007,spain nature explorer,spain,tenerife picos de europa,8,eco resort,breakfast dinner,domestic flight private transfers,teide national park mount teide picos de europa national park,hiking cable car ride whale watching nature photography,nature wildlife,nature lovers,4.8,185000,
ESP008,ultimate spain grand tour,spain,madrid barcelona seville granada valencia ibiza,14,5star hotels,breakfast dinner,highspeed trains domestic flights private transfers,sagrada famlia royal palace alhambra plaza de espaa city of arts and sciences ibiza beaches,city tours flamenco shows beach excursions wine tasting shopping,grand tour,all travelers,5.0,455000,
THA001,thailand budget explorer,thailand,bangkok pattaya,5,3star hotel,breakfast,airport transfers shared coach,grand palace wat arun pattaya beach walking street,city tours beach visit shopping,budget,students solo travelers,4.5,45000,
THA002,thailand family discovery,thailand,bangkok phuket,6,4star hotel,breakfast dinner,domestic flight private transfers,grand palace phi phi islands phuket old town big buddha,island tour family beach activities cultural visits,family,families,4.8,75000,
THA003,thailand romantic escape,thailand,phuket krabi,6,5star beach resort,breakfast romantic dinner,private transfers speedboat,phi phi islands railay beach james bond island maya bay,sunset cruise couples spa candlelight dinner island hopping,honeymoon,couples,4.9,135000,
THA004,thailand adventure expedition,thailand,chiang mai chiang rai,8,4star resort,breakfast,domestic flight private transfers,doi inthanon national park white temple golden triangle mae taeng river,jungle trekking whitewater rafting ziplining atv ride,adventure,adventure lovers,4.8,145000,
THA005,thailand luxury escape,thailand,bangkok phuket koh samui,9,5star luxury resort,all meals,business class domestic flights private chauffeur,grand palace koh samui beaches phi phi islands big buddha,private yacht cruise luxury shopping spa fine dining,luxury,premium travelers,5.0,295000,
THA006,thailand cultural heritage tour,thailand,bangkok ayutthaya chiang mai,7,4star hotel,breakfast,private coach domestic flight,ayutthaya historical park wat pho doi suthep temple wat rong khun,temple tours thai cultural show floating market visit,cultural,history enthusiasts,4.8,95000,
THA007,thailand nature explorer,thailand,khao sok krabi,8,eco resort,breakfast dinner,private transfers,khao sok national park emerald pool railay beach phang nga bay,kayaking wildlife safari hiking snorkeling,nature wildlife,nature lovers,4.8,125000,
THA008,ultimate thailand grand tour,thailand,bangkok pattaya phuket krabi chiang mai,12,5star hotels,breakfast dinner,domestic flights private transfers,grand palace phi phi islands railay beach white temple doi suthep walking street,island hopping temple tours adventure activities shopping thai cultural experiences,grand tour,all travelers,5.0,345000,
UAE001,uae budget explorer,united arab emirates,dubai sharjah,5,3star hotel,breakfast,airport transfers shared coach,burj khalifa dubai mall dubai fountain sharjah museum of islamic civilization,city tours shopping cultural walks,budget,students solo travelers,4.5,55000,
UAE002,uae family discovery,united arab emirates,dubai abu dhabi,6,4star hotel,breakfast dinner,private transfers,ferrari world sheikh zayed grand mosque dubai aquarium miracle garden,theme parks desert safari family sightseeing,family,families,4.8,95000,
UAE003,uae romantic escape,united arab emirates,dubai abu dhabi,6,5star luxury hotel,breakfast romantic dinner,private chauffeur,burj al arab palm jumeirah dubai marina louvre abu dhabi,luxury yacht cruise couples spa sunset dinner marina walk,honeymoon,couples,4.9,165000,
UAE004,uae adventure expedition,united arab emirates,dubai hatta,7,4star resort,breakfast,private transfers,dubai desert conservation reserve hatta mountains jebel jais,desert safari dune bashing ziplining kayaking mountain hiking,adventure,adventure lovers,4.8,145000,
UAE005,uae luxury escape,united arab emirates,dubai abu dhabi,8,5star luxury resort,all meals,private chauffeur luxury suv,burj khalifa atlantis the palm emirates palace dubai marina,private yacht charter fine dining luxury shopping spa,luxury,premium travelers,5.0,325000,
UAE006,uae cultural heritage tour,united arab emirates,dubai abu dhabi al ain,7,4star hotel,breakfast,private coach,al fahidi historical district sheikh zayed grand mosque al ain oasis qasr al hosn,heritage walks museum visits cultural shows,cultural,history enthusiasts,4.8,105000,
UAE007,uae nature explorer,united arab emirates,ras al khaimah fujairah,7,eco resort,breakfast dinner,private transfers,jebel jais wadi wurayah national park snoopy island,hiking snorkeling wildlife watching beach exploration,nature wildlife,nature lovers,4.8,125000,
UAE008,ultimate uae grand tour,united arab emirates,dubai abu dhabi sharjah ras al khaimah al ain,10,5star hotels,breakfast dinner,private transfers,burj khalifa sheikh zayed grand mosque ferrari world palm jumeirah jebel jais dubai frame,city tours desert safari theme parks luxury shopping cultural experiences,grand tour,all travelers,5.0,365000,
UK001,united kingdom budget explorer,united kingdom,london birmingham,7,3star hotel,breakfast,airport transfers intercity train,big ben buckingham palace tower bridge birmingham museum art gallery,city tours shopping museum visits,budget,students solo travelers,4.5,125000,
UK002,united kingdom family discovery,united kingdom,london edinburgh,8,4star hotel,breakfast dinner,highspeed train private transfers,london eye edinburgh castle tower of london natural history museum,family sightseeing river cruise castle tour,family,families,4.8,185000,
UK003,united kingdom romantic escape,united kingdom,london cotswolds,7,5star luxury hotel,breakfast romantic dinner,private chauffeur,buckingham palace hyde park bourtononthewater blenheim palace,thames dinner cruise countryside drive spa experience,honeymoon,couples,4.9,255000,
UK004,united kingdom adventure expedition,united kingdom,scottish highlands isle of skye,9,mountain lodge,breakfast,rental suv private transfers,ben nevis loch ness isle of skye glen coe,hiking kayaking wildlife watching mountain trekking,adventure,adventure lovers,4.8,225000,
UK005,united kingdom luxury escape,united kingdom,london edinburgh windsor,10,5star luxury hotel,all meals,business class domestic flight private chauffeur,buckingham palace windsor castle edinburgh castle the shard,luxury shopping afternoon tea michelinstar dining private city tours,luxury,premium travelers,5.0,425000,
UK006,united kingdom cultural heritage tour,united kingdom,london oxford bath,8,4star hotel,breakfast,private coach,westminster abbey stonehenge roman baths university of oxford,heritage walks museum tours historic site visits,cultural,history enthusiasts,4.8,175000,
UK007,united kingdom nature explorer,united kingdom,lake district snowdonia,8,eco lodge,breakfast dinner,private transfers,lake windermere scafell pike snowdonia national park mount snowdon,hiking boating cycling nature photography,nature wildlife,nature lovers,4.8,195000,
UK008,ultimate united kingdom grand tour,united kingdom,london edinburgh manchester oxford bath lake district,14,5star hotels,breakfast dinner,highspeed trains domestic flight private transfers,big ben buckingham palace edinburgh castle stonehenge roman baths lake district national park,city tours castle visits shopping river cruise cultural experiences,grand tour,all travelers,5.0,495000,
USA001,united states budget explorer,united states,new york city washington dc,7,3star hotel,breakfast,airport transfers amtrak train,statue of liberty times square white house national mall,city tours museum visits shopping,budget,students solo travelers,4.5,145000,
USA002,united states family discovery,united states,orlando miami,8,4star hotel,breakfast dinner,domestic flight private transfers,walt disney world universal orlando resort miami beach,theme parks family entertainment beach activities,family,families,4.8,225000,
USA003,united states romantic escape,united states,new york city napa valley,7,5star luxury hotel,breakfast romantic dinner,domestic flight private transfers,central park empire state building napa vineyards,wine tasting broadway show couples spa fine dining,honeymoon,couples,4.9,295000,
USA004,united states adventure expedition,united states,las vegas grand canyon,9,4star resort,breakfast,rental suv private transfers,grand canyon national park hoover dam red rock canyon,helicopter tour hiking atv ride skywalk experience,adventure,adventure lovers,4.8,245000,
USA005,united states luxury escape,united states,new york city los angeles las vegas,10,5star luxury hotel,all meals,business class domestic flights private chauffeur,hollywood sign beverly hills times square bellagio fountains,luxury shopping private city tours helicopter ride michelinstar dining,luxury,premium travelers,5.0,495000,
USA006,united states cultural heritage tour,united states,boston philadelphia washington dc,8,4star hotel,breakfast,amtrak train private coach,freedom trail liberty bell smithsonian museums white house,heritage walks museum tours historic landmark visits,cultural,history enthusiasts,4.8,195000,
USA007,united states nature explorer,united states,yellowstone yosemite,9,eco lodge,breakfast dinner,domestic flight private transfers,yellowstone national park yosemite valley old faithful half dome,wildlife safari hiking camping nature photography,nature wildlife,nature lovers,4.9,255000,
USA008,ultimate united states grand tour,united states,new york city washington dc orlando las vegas los angeles san francisco,15,5star hotels,breakfast dinner,domestic flights private transfers,statue of liberty white house walt disney world grand canyon hollywood golden gate bridge,city tours theme parks road trip shopping national park excursions,grand tour,all travelers,5.0,595000,
